,rule1 count,rule1 motions,rule2 count,rule2 motions,rule3 count,rule3 motions
270,8691,290530,8347,279378,3846,12998
271,9999,334538,10039,338660,1010,2147
272,115,3587,18975,628040,287,635
273,417,14909,11022,370303,1124,2469
274,825,28053,1165,38652,579,1356
275,1686,56546,13483,447501,5614,24184
276,1738,57870,18958,633637,10558,53305
277,33067,1099566,25078,838084,4521,16263
278,319,10350,830,28158,661,1528
279,17606,594700,4452,150954,9437,48301
280,13882,455526,12069,400565,14497,88723
281,5487,182463,5471,181799,9924,58092
282,1519,50758,95,3235,156,332
283,309,10429,1404,46737,4631,16344
284,771,25262,87,3064,124,231
285,437,14626,369,12771,328,685
286,9971,332799,749,25546,10534,57131
287,29427,976253,972,33215,1086,2329
288,2462,80655,1426,47933,1458,3225
289,10811,360665,868,29271,911,1986
290,10928,360987,671,21977,1150,2472
291,6331,210593,4049,134228,8787,49562
292,6155,203883,7880,265714,6172,26670
293,2370,78759,655,21825,1190,2579
294,589,19706,9683,319192,9769,50327
295,29639,985009,537,18175,602,1449
296,9146,307181,26982,903102,4368,15214
297,1410,48000,537,17319,634,1488
298,7075,237991,1370,45388,9586,51516
299,454,14834,987,33140,791,1778
300,209,6824,390,13182,499,1264
